case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge
LoraWAN 1 gateways,1,2630,85,90,1000000,215,9792,120980,46,0,7077,2715
LoraWAN 2 gateways,1,6158,157,90,1000000,215,9792,283268,46,0,9792,6315
LoraWAN 3 gateways,1,8711,201,90,1000000,215,9792,400706,46,0,9792,8906
Multihop 1 gateways,0.1,1690,30,90,1000000,215,1740,179548,185,26,0,1720
LoraWAN 1 gateways,0.1,642,2,90,1000000,215,1739,29532,46,0,1095,644
LoraWAN 2 gateways,0.1,1021,7,90,1000000,215,1739,46966,46,0,1739,1028
LoraWAN 3 gateways,0.1,1654,9,90,1000000,215,1739,76084,46,0,1739,1660
Multihop 1 gateways,0.2,3149,88,90,1000000,215,3286,333238,185,62,0,3237
LoraWAN 1 gateways,0.2,1186,2,90,1000000,215,3264,54556,46,0,2076,1188
LoraWAN 2 gateways,0.2,1919,2,90,1000000,215,3264,88274,46,0,3264,1921
LoraWAN 3 gateways,0.2,3094,31,90,1000000,215,3264,142324,46,0,3264,3120
Multihop 1 gateways,0.3,4274,201,90,1000000,215,4553,447148,185,99,0,4475
LoraWAN 1 gateways,0.3,1585,18,90,1000000,215,4475,72910,46,0,2872,1603
LoraWAN 2 gateways,0.3,2643,14,90,1000000,215,4475,121578,46,0,4475,2657
LoraWAN 3 gateways,0.3,4263,39,90,1000000,215,4475,196098,46,0,4475,4284
Multihop 1 gateways,0.4,5367,225,90,1000000,215,5747,562265,185,227,0,5593
LoraWAN 1 gateways,0.4,2025,38,90,1000000,215,5587,93150,46,0,3524,2063
LoraWAN 2 gateways,0.4,3277,42,90,1000000,215,5587,150742,46,0,5587,3319
LoraWAN 3 gateways,0.4,5300,68,90,1000000,215,5587,243800,46,0,5587,5351
Multihop 1 gateways,0.5,6049,515,90,1000000,215,6776,632398,185,280,0,6564
LoraWAN 1 gateways,0.5,2296,48,90,1000000,215,6526,105616,46,0,4182,2344
LoraWAN 2 gateways,0.5,3819,42,90,1000000,215,6526,175674,46,0,6526,3861
LoraWAN 3 gateways,0.5,6156,112,90,1000000,215,6526,283176,46,0,6526,6231
Multihop 1 gateways,0.6,7057,381,90,1000000,215,7727,731733,185,466,0,7438
LoraWAN 1 gateways,0.6,2671,54,90,1000000,215,7361,122866,46,0,4636,2725
LoraWAN 2 gateways,0.6,4291,59,90,1000000,215,7361,197386,46,0,7361,4350
LoraWAN 3 gateways,0.6,6966,100,90,1000000,215,7361,320436,46,0,7361,7026
Multihop 1 gateways,0.7,7666,439,90,1000000,215,8551,788177,185,678,0,8105
LoraWAN 1 gateways,0.7,2863,79,90,1000000,215,8035,131698,46,0,5092,2942
LoraWAN 2 gateways,0.7,4714,75,90,1000000,215,8035,216844,46,0,8034,4789
LoraWAN 3 gateways,0.7,7555,159,90,1000000,215,8035,347530,46,0,8034,7670
Multihop 1 gateways,0.8,8069,707,90,1000000,215,9312,818941,185,865,0,8776
LoraWAN 1 gateways,0.8,3087,91,90,1000000,215,8677,142002,46,0,5499,3178
LoraWAN 2 gateways,0.8,5048,82,90,1000000,215,8677,232208,46,0,8677,5131
LoraWAN 3 gateways,0.8,8164,166,90,1000000,215,8677,375544,46,0,8677,8275
Multihop 1 gateways,0.9,8995,592,90,1000000,215,10043,932825,185,640,0,9588
