case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
Multihop 1 gateways,0.6,6172,14963,200,2000000,71.9383,21135,922422,492.428
LoraWAN 1 gateways,0.6,3940,28612,200,2000000,431.63,32552,185180,492.428
LoraWAN 2 gateways,0.6,13572,32552,200,2000000,431.63,32552,637884,492.428
LoraWAN 3 gateways,0.6,25626,32552,200,2000000,431.63,32552,1204422,492.428
Multihop 1 gateways,0.7,5047,14651,200,2000000,53.9537,19698,813899,492.428
LoraWAN 1 gateways,0.7,3340,32280,200,2000000,431.63,35620,156980,492.428
LoraWAN 2 gateways,0.7,26510,35620,200,2000000,431.63,35620,1245970,492.428
LoraWAN 3 gateways,0.7,22168,35620,200,2000000,431.63,35620,1041896,492.428
Multihop 1 gateways,0.8,7597,21135,200,2000000,86.326,28732,1077287,492.428
LoraWAN 1 gateways,0.8,3102,35361,200,2000000,431.63,38465,145794,492.428
LoraWAN 2 gateways,0.8,8656,38463,200,2000000,431.63,38465,406832,492.428
LoraWAN 3 gateways,0.8,26803,38463,200,2000000,431.63,38465,1259741,492.428
Multihop 1 gateways,0.9,7808,22802,200,2000000,71.9383,30610,1262561,492.428
LoraWAN 1 gateways,0.9,2992,37963,200,2000000,431.63,40958,140624,492.428
LoraWAN 2 gateways,0.9,20975,40955,200,2000000,431.63,40958,985825,492.428
LoraWAN 3 gateways,0.9,35878,40955,200,2000000,431.63,40958,1686266,492.428
Multihop 1 gateways,1,6236,18758,200,2000000,47.9589,24994,1037196,492.428
LoraWAN 1 gateways,1,4318,38843,200,2000000,431.63,43162,202946,492.428
LoraWAN 2 gateways,1,19147,43161,200,2000000,431.63,43162,899909,492.428
LoraWAN 3 gateways,1,40350,43161,200,2000000,431.63,43162,1896450,492.428
Multihop 1 gateways,0.1,989,2396,200,2000000,53.9537,3385,154019,492.428
LoraWAN 1 gateways,0.1,713,7117,200,2000000,431.63,7830,33511,492.428
LoraWAN 2 gateways,0.1,4847,7830,200,2000000,431.63,7830,227809,492.428
LoraWAN 3 gateways,0.1,7036,7830,200,2000000,431.63,7830,330692,492.428
Multihop 1 gateways,0.2,1796,4604,200,2000000,53.9537,6400,269874,492.428
LoraWAN 1 gateways,0.2,1487,12916,200,2000000,431.63,14403,69889,492.428
LoraWAN 2 gateways,0.2,6830,14403,200,2000000,431.63,14403,321010,492.428
LoraWAN 3 gateways,0.2,9161,14403,200,2000000,431.63,14403,430567,492.428
Multihop 1 gateways,0.3,3068,9409,200,2000000,71.9383,12477,504122,492.428
LoraWAN 1 gateways,0.3,1877,18102,200,2000000,431.63,19979,88219,492.428
LoraWAN 2 gateways,0.3,12337,19979,200,2000000,431.63,19979,579839,492.428
LoraWAN 3 gateways,0.3,18430,19979,200,2000000,431.63,19979,866210,492.428
Multihop 1 gateways,0.4,4505,13665,200,2000000,86.326,18171,713366,492.428
LoraWAN 1 gateways,0.4,3171,21610,200,2000000,431.63,24781,149037,492.428
LoraWAN 2 gateways,0.4,14048,24781,200,2000000,431.63,24781,660256,492.428
LoraWAN 3 gateways,0.4,20190,24781,200,2000000,431.63,24781,948930,492.428
